session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,577,134,3,134,134,3,134,203,134,31
1,425,193,687,254,134,31,394,3841,218,55,31
2,55,3,55,55,5,293,425,340,908,55,31
3,473,4015,473,55,55,55,55,980,201,123,31
4,348,55,5,3837,258,212,3937,2157,676,2157,31
5,227,676,212,212,55,55,128,174,3891,3657,31
6,350,577,134,3,134,31,134,394,192,134,31
7,262,4007,1696,394,55,3,55,3,201,123,31
8,55,340,106,203,1280,515,55,813,106,5,31
9,1035,350,3868,350,3865,545,608,608,545,613,31
10,613,174,174,464,2,2,6,3,2,2823,31
11,2823,4338,4158,2253,162,162,118,90,2,90,31
12,108,565,617,18,44,108,391,17,90,2374,31
13,90,754,5,102,22,1294,1294,90,565,31,31
14,20,31,20,90,5,118,6,3,2,2,31
15,54,2,62,86,54,86,62,54,62,142,31
16,54,62,54,142,61,61,61,61,374,316,31
17,316,374,316,1109,374,1398,1398,1109,316,374,31
18,98,98,316,374,2847,316,1313,1203,1313,316,31
19,2847,1203,1313,1313,316,374,316,374,1203,316,31
20,374,374,1398,3,316,374,2,1398,467,1904,31
21,374,316,3,878,316,2,467,579,878,374,31
22,316,878,316,579,1109,374,878,316,579,1883,31
23,2391,374,316,467,878,878,316,467,579,467,31
24,579,316,579,2375,823,579,316,579,878,467,31
25,579,374,316,467,579,467,316,467,579,579,31
26,878,467,467,467,193,467,687,467,348,128,31
27,467,467,467,579,467,293,579,1408,43,464,31
28,2,2,3,6,2,2046,245,2046,592,1819,31
29,128,203,1408,211,5,592,2046,515,1645,592,31
30,2046,2924,170,170,2,3,6,2001,2,3,31
31,2001,106,2001,2001,374,316,316,374,1398,316,31
32,1489,1109,316,467,1904,374,1313,316,1203,1203,31
33,1313,316,374,467,467,316,316,374,316,1109,31
34,374,316,467,316,1883,467,2391,467,374,467,31
35,467,316,467,2375,579,467,467,467,87,5,31
36,467,87,577,134,3,134,31,3,134,134,31
37,394,3969,959,959,55,3,55,3,55,106,31
38,1721,173,3845,3876,55,3,55,201,123,55,31
39,55,3817,3995,258,885,258,350,350,885,769,31
40,3,55,55,193,55,3989,212,3974,212,258,31
41,258,3591,769,227,227,545,545,55,55,3,31
42,55,55,3,425,106,2073,3813,3879,1246,55,31
43,3,55,55,55,3859,4038,603,603,227,55,31
44,55,861,3,425,473,473,3956,55,55,3,31
45,55,55,425,55,55,4021,3,55,201,123,31
46,31,757,3838,251,2739,4012,899,55,3,55,31
47,193,316,374,374,316,1109,374,1904,915,915,31
48,915,316,316,1109,374,316,1883,2391,915,915,31
49,915,915,915,579,374,2375,915,579,316,55,31
50,579,915,915,577,134,3,134,201,123,31,31
51,1262,134,1559,4000,394,134,1262,134,3853,55,31
52,3,55,394,55,55,3913,562,562,4036,607,31
53,370,258,258,603,603,201,55,123,425,106,31
54,203,348,174,1035,340,1280,106,515,813,3957,31
55,4047,212,212,212,416,416,1472,762,1472,762,31
56,861,55,134,421,577,3,134,134,201,123,31
57,31,134,3878,218,218,1130,394,3,55,201,31
58,123,55,293,903,2199,395,3901,874,4016,676,31
59,676,370,370,395,370,395,395,395,395,55,31
60,55,201,123,5,687,193,128,3963,3885,545,31
61,227,545,227,652,652,218,218,55,55,2310,31
62,55,106,1280,245,515,55,3598,3982,941,1473,31
63,3807,941,1473,941,350,350,606,606,55,218,31
64,218,416,134,134,3877,394,55,55,55,395,31
65,903,55,123,425,201,55,55,473,55,3960,31
66,218,3955,218,55,769,55,123,55,201,193,31
67,106,128,293,106,173,1595,1560,55,340,3977,31
68,1929,3964,1929,227,874,212,212,55,201,123,31
69,425,3857,227,3884,227,55,425,687,203,5,31
70,55,174,421,2,464,2,2,2,6,3,31
71,2,3,6,2,967,2,2098,767,2098,421,31
72,421,192,2,464,2,6,2,3,6,2,31
73,3,4,10,10,4,3,6,3,4,4,31
74,21,10,6,27,4,10,4,4,9,3,31
75,30,6,10,21,27,33,30,115,9,9,31
76,4,115,23,4,33,6,4,9,4,115,31
77,6,23,9,192,421,421,192,2,6,3,31
78,3,6,2,2,2,6,2,3,62,54,31
79,2,6,3,54,62,86,54,62,142,54,31
80,142,62,2,2,2,88,2,577,134,3,31
81,3,134,201,123,55,3,55,3930,4018,201,31
82,123,55,3,128,193,3921,227,3905,227,652,31
83,218,218,55,55,577,134,3,134,3,123,31
84,201,55,3,55,340,5,193,348,55,55,31
85,5,687,465,293,203,3604,55,4053,370,4052,31
86,607,607,370,227,227,1130,769,350,769,350,31
87,562,562,192,2,6,3,2,2518,3,2518,31
88,2518,3,6,577,134,2,134,3,61,61,31
89,3690,551,41,61,19,38,13,19,13,38,31
90,134,31,14,3870,38,1,13,246,607,13,31
91,14,19,19,38,227,6,14,13,394,1,31
92,13,38,868,13,19,139,13,1,19,139,31
93,8,868,13,14,1,14,541,19,38,3,31
94,1,19,13,6,6,541,13,19,1,6,31
95,75,75,1,1,1,14,1,14,14,19,31
96,75,14,1,75,1,14,14,14,1,14,31
97,1,14,14,1,14,14,1,14,1,14,31
98,75,14,1,14,1,14,14,13,14,6,31
99,55,3,55,55,201,123,425,465,106,5,31
100,106,4352,245,173,55,3835,258,4001,562,258,31
101,562,174,174,43,2,6,3,86,62,142,31
102,2,54,54,86,54,54,54,6,3,2,31
103,2,2,2389,2,2,3,577,134,3,134,31
104,134,134,201,123,55,3,55,123,201,55,31
105,193,128,55,3902,227,3997,2426,227,562,1667,31
106,2,6,3,2,6,3,148,148,18,6,31
107,148,17,5,44,5,3,148,3,6,1163,31
108,148,148,3,148,148,148,148,10,148,10,31
109,148,148,148,148,148,148,148,148,148,148,31
110,148,148,10,148,148,148,148,148,148,148,31
111,148,148,148,148,148,13,38,19,148,148,31
112,148,148,148,148,148,148,148,148,148,148,31
113,148,148,148,148,148,148,148,148,148,148,31
114,148,148,148,148,148,148,148,148,148,148,31
115,148,148,148,148,148,148,148,148,148,148,31
116,148,148,148,148,148,148,148,148,148,148,31
117,148,148,148,148,148,246,148,148,148,148,31
118,148,148,148,148,148,148,148,148,148,148,31
119,148,148,148,148,148,2,6,3,239,6,31
120,88,239,2,3,38,13,19,3,6,88,31
121,239,38,19,13,239,432,362,362,432,74,31
122,1188,923,1329,3743,1329,1279,239,432,362,510,31
123,1329,751,1188,362,432,3735,74,1472,74,74,31
124,74,74,74,362,74,74,74,74,74,74,31
125,74,2877,362,923,510,923,74,74,74,362,31
126,1279,2877,510,74,74,740,575,857,1817,74,31
127,74,1279,74,74,74,432,362,1943,432,362,31
128,376,44,18,17,376,5,376,5,3736,376,31
129,1932,1932,362,74,1943,362,74,74,74,74,31
130,74,74,74,74,74,74,74,74,74,74,31
131,74,74,74,74,74,74,74,239,74,74,31
132,74,74,74,74,74,74,74,74,74,74,31
133,74,74,74,74,74,74,74,74,74,74,31
134,74,74,74,74,239,1776,31,6,6,22,31
135,5,458,1776,17,18,44,31,6,1776,130,31
136,664,5,22,1776,44,6,53,6,5,1776,31
137,20,20,10,20,20,10,2,6,3,2,31
138,2974,2974,6,3,239,2,53,239,239,44,31
139,1504,1400,226,2094,1504,22,1400,226,1400,1504,31
140,6,10,5,18,1400,1120,1504,17,5,1120,31
141,6,20,13,19,1504,1120,1504,239,239,88,31
142,3,239,1279,239,13,239,244,765,1459,765,31
143,44,17,18,787,6,6,765,1489,6,340,31
144,348,687,5,3088,5,538,173,419,625,1159,31
145,173,293,10,625,173,10,3603,173,765,20,31
146,20,174,20,88,3,13,239,239,926,722,31
147,3637,417,417,788,1887,417,17,18,203,22,31
148,417,2228,1887,5,1700,417,20,6,2,3,31
149,2,532,6,1303,532,6,17,2660,18,1303,31
150,532,1303,1303,532,1303,1805,170,2200,858,532,31
151,1018,452,170,1303,5,1303,170,193,532,532,31
152,532,532,394,532,532,532,394,532,209,17,31
153,532,5,209,18,532,532,532,532,532,532,31
154,532,532,532,532,532,532,532,2,2,1114,31
155,1114,31,3,1114,5,22,1114,209,4806,31,31
156,1114,209,6,940,209,209,398,940,209,209,31
157,20,20,10,10,1114,209,209,398,940,752,31
158,209,239,2,2,4654,5,332,18,17,3186,31
159,106,22,6,5,2,226,4526,4635,106,3186,31
160,2602,3082,2602,3082,5,6,5,4888,10,10,31
161,332,13,38,19,20,20,398,2,209,1114,31
162,5,1114,209,6,20,1114,2886,209,187,381,31
163,392,940,529,381,612,209,615,5,398,187,31
164,392,22,6,31,392,529,209,187,20,656,31
